Area, AMOEBA, Value
772, 258, 38.2
773, 258, 41.8
774, -22, 30.1
775, 0, 37.0
776, 258, 38.8
777, -15, 31.0
778, -15, 28.8
779, 1, 40.8
780, 258, 39.4
781, 1, 41.3
782, 258, 37.9
783, 258, 39.5
784, 1, 40.3
785, 92, 39.6
786, 0, 36.8
787, 0, 37.9
788, -234, 34.7
789, 0, 37.8
790, 1, 42.2
791, 1, 41.5
792, 1, 43.8
793, 1, 39.7
794, 0, 36.6
795, 1, 42.9
796, 0, 35.1
797, -1, 19.4
798, -1, 29.1
799, -7, 33.4
800, -66, 33.9
801, -66, 33.1
802, 1, 44.4
803, 258, 38.0
804, 0, 38.5
805, -85, 27.7
806, 1, 43.0
807, 0, 35.7
808, 258, 38.2
809, 92, 40.3
810, 1, 40.2
811, -269, 33.5
812, 44, 41.2
813, -22, 33.4
814, 1, 40.8
815, 258, 41.6
816, 1, 40.4
817, 258, 39.4
818, 1, 43.3
819, 1, 44.7
820, -11, 29.9
821, 1, 40.8
822, -66, 33.4
823, 258, 39.5
824, 1, 42.3
825, 0, 36.9
826, -11, 33.6
827, -11, 32.6
828, 1, 42.1
829, -1, 32.8
830, -1, 29.9
831, -1, 22.0
832, -1, 33.1
833, -11, 33.7
834, -2, 28.4
835, -2, 27.4
836, 0, 29.5
837, 44, 43.5
838, 1, 42.4
839, 258, 39.4
840, 258, 38.2
841, -7, 31.4
842, 0, 35.2
843, -7, 33.7
844, 0, 37.5
845, 258, 38.3
846, 258, 38.5
847, 1, 42.6
848, 258, 38.1
849, 258, 38.6
850, 0, 36.3
851, -11, 32.0
852, 44, 40.8
853, 1, 41.0
854, 1, 40.7
855, -129, 31.3
856, 1, 48.5
857, 0, 32.9
858, 0, 35.5
859, 1, 42.1
860, 1, 41.3
861, 1, 47.5
862, 0, 36.8
863, 0, 36.2
864, 0, 35.3
865, 0, 37.7
866, 258, 38.9
867, 258, 38.3
868, 1, 41.3
869, 0, 37.8
870, 0, 35.9
871, 258, 38.1
872, 258, 38.2
873, 1, 43.1
874, 1, 40.0
875, 1, 40.5
876, 1, 41.9
877, 1, 40.8
878, 1, 45.8
879, 0, 36.8
880, 1, 43.6
881, -7, 33.4
882, -7, 27.7
883, 0, 38.0
884, -91, 27.4
885, 258, 39.3
886, 1, 45.4
887, 0, 37.2
888, 0, 33.1
889, 92, 42.3
890, 258, 39.1
891, 0, 34.2
892, -234, 33.9
893, 0, 35.6
894, 0, 34.5
895, -11, 32.8
896, 258, 38.6
897, 0, 35.0
898, 0, 35.1
899, -44, 34.5
900, -122, 31.3
901, -44, 34.3
902, 0, 37.5
903, 258, 38.6
904, -44, 33.3
905, 0, 35.8
906, 1, 39.7
907, -1, 30.9
908, -1, 33.0
909, 0, 37.7
910, 0, 35.7
911, 0, 37.9
912, 0, 36.1
913, 258, 38.8
914, 258, 38.7
915, 1, 44.3
916, 1, 44.5
917, 258, 39.8
918, 258, 39.4
919, 258, 38.8
920, 258, 38.0
921, 258, 37.9
922, 1, 40.4
923, 1, 40.4
924, -147, 29.6
925, 258, 39.4
926, 258, 38.7
927, 1, 40.9
928, 1, 40.3
929, 1, 40.7
930, 258, 39.7
931, 12, 43.0
932, 1, 40.4
933, 188, 43.1
934, 258, 38.3
935, -11, 33.2
936, 0, 36.1
937, 258, 38.3
938, 1, 43.4
939, -2, 29.2
940, -2, 25.3
941, -2, 23.7
942, -66, 31.4
943, 239, 44.8
944, 1, 39.6
945, 1, 44.8
946, 0, 33.7
947, 1, 40.0
948, 0, 36.9
949, 258, 39.3
950, 258, 38.7
951, 1, 40.1
952, 1, 39.6
953, 0, 36.9
954, 0, 36.8
955, 1, 41.3
956, 258, 38.2
957, 0, 36.1
958, 258, 39.3
959, 1, 42.8
960, 0, 36.5
961, -11, 30.7
962, 258, 38.4
963, 258, 38.1
964, 0, 36.5
965, 1, 47.0
966, 1, 44.4
967, 1, 41.9
968, 1, 43.9
969, 0, 39.7
970, -11, 32.0
971, 0, 36.2
972, -1, 33.9
973, 0, 37.8
974, 0, 36.0
975, 1, 43.7
976, 1, 43.5
977, 1, 40.8
978, 0, 34.8
979, 0, 35.7
980, 0, 36.9
981, 0, 36.6
982, 44, 41.9
983, 44, 41.3
984, 0, 34.9
985, 1, 39.6
986, 1, 40.3
987, 1, 39.8
988, 258, 38.6
989, 1, 45.8
990, -1, 31.3
991, -7, 32.0
992, 0, 38.6
993, 1, 50.5
994, 1, 39.7
995, 1, 43.9
996, 0, 37.3
997, 0, 36.6
998, 1, 43.4
999, 0, 35.0
1000, 15, 49.4
1001, 1, 41.6
1002, 0, 36.4
1003, 12, 47.8
1004, 1, 41.6
1005, 92, 40.9
1006, 1, 40.6
1007, 1, 41.1
1008, 1, 40.1
1009, 1, 43.3
1010, 1, 41.4
1011, 1, 41.0
1012, 1, 40.4
1013, 0, 41.8
1014, 0, 37.3
1015, 0, 36.0
1016, 0, 38.6
1017, 258, 38.0
1018, 0, 37.2
1019, 1, 46.1
1020, 258, 38.3
1021, 258, 38.8
1022, 92, 39.8
1023, 0, 35.1
1024, 0, 36.3
1025, -7, 29.1
1026, -7, 25.8
1027, -7, 31.7
1028, 0, 35.6
1029, -7, 26.6
1030, 0, 38.5
1031, 1, 42.1
1032, 1, 43.6
1033, 1, 42.7
1034, 0, 36.5
1035, 92, 40.1
1036, 0, 31.2
1037, 258, 38.3
1038, 1, 42.5
1039, 258, 38.1
1040, 1, 41.1
1041, 258, 39.5
1042, 1, 46.6
1043, 1, 44.6
1044, 0, 34.7
1045, 0, 37.2
1046, 1, 42.3
1047, 1, 46.3
1048, 0, 36.8
1049, 0, 26.1
1050, 0, 36.5
1051, -15, 22.8
1052, -15, 32.9
1053, 258, 38.5
1054, 0, 37.2
1055, 0, 35.2
1056, -1, 33.8
1057, 0, 39.0
1058, 1, 40.9
1059, 1, 40.6
1060, 258, 41.3
1061, 1, 41.5
1062, 258, 39.1
1063, 0, 36.7
1064, 0, 39.3
1065, 0, 34.7
1066, -11, 30.9
1067, 258, 39.2
1068, 92, 41.9
1069, -122, 28.8
1070, 0, 37.7
1071, 0, 35.2
1072, 258, 38.6
1073, 0, 35.2
1074, 1, 43.1
1075, 0, 37.1
1076, 0, 40.3
1077, 0, 37.7
1078, 1, 48.4
1079, -11, 29.2
1080, 0, 37.4
1081, 0, 40.5
1082, 1, 45.2
1083, 0, 36.4
1084, 0, 37.7
1085, 258, 42.3
1086, 1, 40.4
1087, 0, 37.7
1088, 92, 39.9
1089, -11, 31.5
1090, 258, 38.9
1091, -1, 28.9
1092, -1, 32.9
1093, -7, 31.2
1094, -44, 34.0
1095, 258, 38.2
1096, 1, 41.2
1097, 0, 35.1
1098, -7, 25.0
1099, 258, 38.4
1100, 12, 41.5
1101, 258, 40.1
1102, 0, 33.0
1103, 258, 38.7
1104, 1, 46.6
1105, -22, 24.2
1106, 0, 38.3
1107, -91, 30.9
1108, 1, 40.3
1109, -1, 29.8
1110, -7, 26.5
1111, 0, 37.3
1112, -269, 34.9
1113, -2, 25.3
1114, 0, 41.6
1115, 1, 42.3
1116, 0, 35.0
1117, 1, 43.2
1118, 1, 43.7
1119, 1, 42.3
1120, -91, 33.6
1121, 1, 41.4
1122, -11, 30.1
1123, 0, 34.4
1124, 0, 36.9
1125, -7, 32.1
1126, 258, 41.2
1127, 0, 34.9
1128, 1, 40.5
1129, 0, 33.9
1130, 1, 40.6
1131, 0, 32.6
1132, 44, 46.2
1133, 0, 35.8
1134, 0, 33.6
1135, -11, 33.7
1136, 258, 38.9
1137, -1, 29.4
1138, 1, 41.9
1139, -44, 32.8
1140, 1, 41.2
1141, -1, 32.8
1142, 0, 36.0
1143, -44, 32.3
1144, 1, 41.2
1145, 12, 47.3
1146, -11, 23.1
1147, 44, 41.4
1148, 92, 39.9
1149, 0, 35.6
1150, 1, 45.7
1151, 0, 42.9
1152, -7, 28.0
1153, 0, 35.1
1154, 258, 39.1
1155, -11, 30.2
1156, -1, 32.8
1157, -7, 33.2
1158, 0, 34.6
1159, 1, 44.2
1160, 1, 47.5
1161, 0, 34.9
1162, 1, 40.5
1163, 1, 42.3
1164, 1, 45.7
1165, 44, 42.4
1166, 0, 37.6
1167, 0, 36.5
1168, 0, 35.3
1169, 258, 38.0
1170, 1, 44.0
1171, -1, 34.1
1172, 258, 41.0
1173, 92, 42.8
1174, 0, 36.6
1175, 1, 40.7
1176, 1, 40.2
1177, 1, 44.5
1178, 0, 37.0
1179, 258, 39.1
1180, 258, 39.5
1181, 258, 38.6
1182, 258, 38.9
1183, 92, 41.7
1184, -11, 31.3
1185, -7, 29.1
1186, 0, 38.2
1187, 0, 37.3
1188, 0, 36.3
1189, 1, 44.6
1190, -1, 26.4
1191, -269, 35.7
1192, -269, 34.8
1193, 258, 38.5
1194, 0, 40.0
1195, 1, 42.8
1196, 258, 38.6
1197, -1, 33.8
1198, 0, 38.5
1199, -2, 30.2
1200, -66, 32.5
1201, 1, 43.8
1202, 1, 43.0
1203, 1, 44.7
1204, 1, 42.7
1205, 1, 43.1
1206, 0, 32.7
1207, 1, 42.7
1208, 0, 34.6
1209, -2, 29.8
1210, 1, 41.8
1211, 0, 36.7
1212, 0, 34.7
1213, 0, 34.7
1214, -7, 32.6
1215, 0, 37.4
1216, 258, 39.4
1217, 258, 40.7
1218, 258, 39.4
1219, 0, 39.0
1220, -2, 31.4
1221, -11, 25.5
1222, -11, 32.8
1223, 92, 42.2
1224, 1, 40.0
1225, 0, 35.1
1226, 1, 45.2
1227, -11, 33.4
1228, 0, 36.7
1229, 44, 41.2
1230, 0, 38.0
1231, 1, 43.7
1232, 0, 36.8
1233, 0, 37.3
1234, 258, 39.0
1235, 258, 38.8
1236, 258, 38.1
1237, 1, 42.9
1238, 1, 44.3
1239, 0, 37.1
1240, -1, 25.8
1241, -44, 32.7
1242, 0, 34.3
1243, 0, 36.7
1244, 0, 34.5
1245, 92, 41.2
1246, 1, 40.0
1247, -7, 25.6
1248, 0, 36.6
1249, 1, 39.7
1250, 1, 40.0
1251, 0, 41.7
1252, 0, 35.9
1253, 92, 39.6
1254, 0, 36.1
1255, 0, 36.2
1256, 0, 35.9
1257, 1, 45.6
1258, 0, 36.5
1259, 1, 41.9
1260, 1, 41.7
1261, 1, 42.2
1262, 1, 41.2
1263, 0, 37.4
1264, 0, 36.8
1265, 0, 33.7
1266, 0, 32.7
1267, 0, 37.2
1268, 1, 42.0
1269, 0, 37.5
1270, 0, 37.8
1271, -2, 23.8
1272, 1, 44.1
1273, 258, 40.5
1274, 0, 32.3
1275, 258, 39.4
1276, 188, 42.0
1277, 0, 36.0
1278, 1, 41.5
1279, 1, 43.2
1280, 92, 41.1
1281, 0, 35.1
1282, 1, 42.1
1283, 1, 42.0
1284, 92, 40.5
1285, 258, 38.3
1286, -1, 32.3
1287, -66, 32.8
1288, -129, 33.3
1289, 0, 34.7
1290, 15, 44.9
1291, 188, 40.3
1292, 1, 41.6
1293, 0, 35.9
1294, -11, 30.2
1295, 0, 37.2
1296, 1, 45.0
1297, 258, 38.9
1298, 258, 38.2
1299, -282, 34.8
1300, 0, 36.8
1301, 0, 36.7
1302, -7, 28.8
1303, 258, 39.2
1304, 258, 40.7
1305, 1, 41.1
1306, 1, 40.5
1307, -1, 28.7
1308, -11, 33.1
1309, -269, 36.1
1310, 44, 43.0
1311, 1, 41.0
1312, -1, 31.6
1313, 258, 38.4
1314, 258, 38.1
1315, 0, 42.0
1316, -7, 26.9
1317, 0, 36.0
1318, 0, 36.5
1319, 92, 41.9
1320, 1, 43.2
1321, 92, 41.6
1322, -11, 32.1
1323, -44, 33.9
1324, 0, 40.1
1325, -11, 31.8
1326, 0, 28.7
1327, 12, 42.7
1328, -11, 32.4
1329, 0, 35.2
1330, 1, 39.6
1331, 0, 33.5
1332, 0, 36.8
1333, -2, 31.0
1334, -2, 31.6
1335, -2, 27.9
1336, -7, 32.8
1337, -66, 34.4
1338, 1, 41.1
1339, 0, 34.6
1340, 0, 37.3
1341, -44, 31.9
1342, 0, 34.9
1343, 258, 38.6
1344, 1, 47.4
1345, 0, 38.8
1346, 0, 36.1
1347, -1, 32.9
1348, 1, 42.1
1349, -1, 31.0
1350, 258, 38.8
1351, -269, 31.7
1352, 0, 39.7
1353, -66, 32.2
1354, 0, 37.7
1355, -2, 31.6
1356, 258, 38.6
1357, 1, 39.8
1358, 0, 37.5
